id,type,title,titleLink,description,icon,macScript,macEnabled,linuxScript,linuxEnabled,windowsScript,windowsEnabled
cardAppVSCode,app,Visual Studio Code,https://code.visualstudio.com/,Visual Studio Code is a code editor redefined and optimized for building and debugging modern web and cloud applications. Visual Studio Code is free and ...,https://code.visualstudio.com/assets/images/code-stable.png,brew install --cask visual-studio-code,true,,false,,false
cardAppVSCodeInsiders,app,Visual Studio Code (Insiders),https://code.visualstudio.com/insiders/,For early adopters you can get the latest release of VS Code each day with the Insiders Build. Available on Mac Linux and Windows...,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Visual_Studio_Code_Insiders_1.36_icon.svg/512px-Visual_Studio_Code_Insiders_1.36_icon.svg.png?20190606225929,brew install --cask visual-studio-code-insiders,true,,false,,false
cardAppPostman,app,Postman,https://www.postman.com/,Postman is an API platform for building and using APIs. Postman simplifies each step of the API lifecycle and streamlines collaboration so you can create ...,https://symbols.getvecta.com/stencil_92/21_postman-icon.c79f00c910.svg,brew install --cask postman,true,,false,,false
cardAppDocker,app,Docker,https://docs.docker.com/get-docker/,Docker is a set of platform as a service (PaaS) products that use OS-level virtualization to deliver software in packages called containers...,https://www.docker.com/wp-content/uploads/2022/03/vertical-logo-monochromatic.png,brew install docker docker-compose docker-machine,true,,false,,false
cardAppRectangle,app,Rectangle,https://rectangleapp.com/,Rectangle. Move and resize windows in macOS using keyboard shortcuts or snap areas...,https://repository-images.githubusercontent.com/193162629/0227dd00-2825-11eb-9ef2-6d36f9636d4e,brew install --cask rectangle,true,,false,,false
cardAppChrome,app,Google Chrome,https://www.google.com/chrome/,Chrome is a fast secure free web browser. The browser built by Google.",https://www.google.com/chrome/static/images/chrome-logo.svg,brew install --cask google-chrome,true,,false,,false
cardAppChromium,app,Chromium,https://www.chromium.org/Home/,The Chromium projects include Chromium and Chromium OS the open-source projects behind the Google Chrome browser and Google Chrome OS respectively.",https://www.chromium.org/_assets/customLogo.png,brew install --cask chromium,true,,false,,false
cardAppFirefox,app,Firefox,https://www.mozilla.org/en-US/firefox/,A free web browser backed by Mozilla a non-profit dedicated to internet health and privacy. ",https://www.mozilla.org/media/protocol/img/logos/firefox/browser/logo.eb1324e44442.svg,brew install --cask firefox,true,,false,,false
cardAppFirefoxDev,app,Firefox (Dev),https://www.mozilla.org/en-US/firefox/developer/,Firefox Developer Edition is the blazing fast browser that offers cutting edge developer tools and latest features like CSS Grid support and framework,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Firefox_Developer_Edition_logo%2C_2019.svg/1200px-Firefox_Developer_Edition_logo%2C_2019.svg,brew install --cask firefox-developer-edition,true,,false,,false
cardAppBrave,app,Brave,https://brave.com/,A privacy-first free browser that loads 3x faster without slowing your computer down. Download Brave for free today and start browsing with 40% less battery consumption. Browse Faster. Take Control. Protect Privacy.",https://brave.com/static-assets/images/brave-logo.svg,brew install --cask brave-browser,true,,false,,false
cardAppVivaldi,app,Vivaldi,https://vivaldi.com/,It's a browser. But fun. It comes with a bunch of clever features built-in. It's freakishly flexible and private too. Get Vivaldi for desktop or Android!,https://commons.wikimedia.org/wiki/File:Vivaldi_web_browser_logo.svg,brew install --cask vivaldi,true,,false,,false
cardAppEdge,app,Microsoft Edge,https://www.microsoft.com/en-us/edge,Microsoft Edge is the best browser for Windows. Sync your passwords favorites and settings across multiple devices and start using Microsoft Edge today.",https://commons.wikimedia.org/wiki/File:Microsoft_Edge_logo_%282019%29.svg,brew install --cask microsoft-edge,true,,false,,false
cardAppOperaGx,app,Opera GX,https://www.opera.com/gx,The Ultimate Browser for Gamers. Get an Unparalleled Gaming and Browsing Experience Now. Opera GX Brings Speed Customization and Privacy to Desktop and Mobile Browsers. Download Now. Types: Browser Built for Gamers Faster & Safer Browsing Twitch/Discord.",https://commons.wikimedia.org/wiki/File:Opera_GX_Icon.svg,brew install --cask opera-gx,true,,false,,false
cardAppOpera,app,Opera,https://www.opera.com/browsers/opera,Upgrade your browser. Get Opera with free VPN Ad Blocker and Battery Saver! New. Fast. Speed. Free. Safe. Update now. Amenities: Integrated messengers Snapshot feature Currency converter News reader Player.",https://commons.wikimedia.org/wiki/File:Opera_2015_icon.svg,brew install --cask opera,true,,false,,false
cardCLIGH,cli,Github CLI,https://cli.github.com/,Take GitHub to the command line. GitHub CLI brings GitHub to your terminal. Free and open source.,https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png,brew install gh,true,,false,,false
